"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_hydrogen","conversion_factor_sec_elec"
27,"DE",2030,"pow_combustion_gt_hydrogen_1",0.0,100000.0,0.0,8236.11944527104,538066.595308,4.785177231,0.0,3.6,172.8,25,"","v1","","","",2.32558139534884,1.0
28,"DE",2035,"pow_combustion_gt_hydrogen_1",0.0,100000.0,0.0,8150.3265343828,528895.00561525,4.785177231,0.0,3.6,172.8,25,"","v1","","","",2.29885057471264,1.0
29,"DE",2040,"pow_combustion_gt_hydrogen_1",0.0,100000.0,0.0,8064.53362349456,519723.4159225,4.785177231,0.0,3.6,172.8,25,"","v1","","","",2.27272727272727,1.0
30,"DE",2045,"pow_combustion_gt_hydrogen_1",0.0,100000.0,0.0,7978.74071260632,510551.82622975,4.785177231,0.0,3.6,172.8,25,"","v1","","","",2.24719101123596,1.0
31,"DE",2050,"pow_combustion_gt_hydrogen_1",0.0,100000.0,0.0,7892.94780171808,501380.236537,4.785177231,0.0,3.6,172.8,25,"","v1","","","",2.22222222222222,1.0
32,"DE",2060,"pow_combustion_gt_hydrogen_1",0.0,100000.0,0.0,7892.94780171808,501380.236537,4.785177231,0.0,3.6,172.8,25,"","v1","","","",2.22222222222222,1.0
33,"DE",2070,"pow_combustion_gt_hydrogen_1",0.0,100000.0,0.0,7892.94780171808,501380.236537,4.785177231,0.0,3.6,172.8,25,"","v1","","","",2.22222222222222,1.0
34,"DE",2020,"pow_combustion_cc_hydrogen_1",0.0,100000.0,0.0,696032.518263499,26767.4,2.10337968835213,0.0,0.0,0.0,30,"","v1","","","",1.68067226890756,1.0
35,"DE",2021,"pow_combustion_cc_hydrogen_1",0.0,100000.0,0.0,693596.404449577,26037.38,2.0462978799067,0.0,0.0,0.0,30,"","v1","","","",1.65562913907285,1.0
36,"DE",2024,"pow_combustion_cc_hydrogen_1",0.0,100000.0,0.0,686288.06300781,25672.37,2.01775697568398,0.0,0.0,0.0,30,"","v1","","","",1.64338537387017,1.0
37,"DE",2027,"pow_combustion_cc_hydrogen_1",0.0,100000.0,0.0,678979.721566043,25915.71,2.03678424516579,0.0,0.0,0.0,30,"","v1","","","",1.65152766308836,1.0
38,"DE",2030,"pow_combustion_cc_hydrogen_1",0.0,100000.0,0.0,671671.380124277,25550.7,2.00824334094307,0.0,0.0,0.0,30,"","v1","","","",1.63934426229508,1.0
39,"DE",2035,"pow_combustion_cc_hydrogen_1",0.0,100000.0,0.0,669061.258180789,24942.35,1.96282668668329,0.0,0.0,0.0,30,"","v1","","","",1.6260162601626,1.0
40,"DE",2040,"pow_combustion_cc_hydrogen_1",0.0,100000.0,0.0,666451.1362373,24334.0,1.9174100324235,0.0,0.0,0.0,30,"","v1","","","",1.61290322580645,1.0
41,"DE",2045,"pow_combustion_cc_hydrogen_1",0.0,100000.0,0.0,663841.014293812,23901.9682439887,1.87404758388879,0.0,0.0,0.0,30,"","v1","","","",1.6,1.0
42,"DE",2050,"pow_combustion_cc_hydrogen_1",0.0,100000.0,0.0,661230.892350324,23469.9364879774,1.83068513535407,0.0,0.0,0.0,30,"","v1","","","",1.58730158730159,1.0
43,"DE",2060,"pow_combustion_cc_hydrogen_1",0.0,100000.0,0.0,661230.892350324,23469.9364879774,1.83068513535407,0.0,0.0,0.0,30,"","v1","","","",1.58730158730159,1.0
44,"DE",2070,"pow_combustion_cc_hydrogen_1",0.0,100000.0,0.0,661230.892350324,23469.9364879774,1.83068513535407,0.0,0.0,0.0,30,"","v1","","","",1.58730158730159,1.0
