"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_wood_chips_pp","conversion_factor_pri_biomass_wood_chips_pr","conversion_factor_pri_biomass_wood_chips_sr","conversion_factor_pri_biomass_pellets_pp","conversion_factor_pri_biomass_pellets_sr","conversion_factor_pri_biomass_straw_bales_pr","conversion_factor_sec_elec","emi_co2_neg_fuel_cc_pow","ef_pri_biomass_wood_chips_pp_emi_co2_f_pow","ef_pri_biomass_wood_chips_pr_emi_co2_f_pow","ef_pri_biomass_wood_chips_sr_emi_co2_f_pow","ef_pri_biomass_pellets_pp_emi_co2_f_pow","ef_pri_biomass_pellets_sr_emi_co2_f_pow","ef_pri_biomass_straw_bales_pr_emi_co2_f_pow"
11,"global",2070,"pow_combustion_st_ccs_biomass_1",0.0,100000.0,0.0,3558715.19254423,64934.625156,6.13987602230583,0.0,0.0,0.0,40,"","v1","","","",3.125,3.125,3.125,3.125,3.125,3.125,1.0,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
12,"DE",2020,"pow_combustion_st_ccs_biomass_1",0.0,100000.0,0.0,4496972.39619474,86192.3925760006,6.34240313570578,0.0,0.0,0.0,40,"","v1","","","",3.74938226509959,3.74938226509959,3.74938226509959,3.74938226509959,3.74938226509959,3.74938226509959,1.0,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
13,"DE",2021,"pow_combustion_st_ccs_biomass_1",0.0,100000.0,0.0,4455333.76289664,78325.7892484003,6.29136334566354,0.0,0.0,0.0,40,"","v1","","","",3.41665132926337,3.41665132926337,3.41665132926337,3.41665132926337,3.41665132926337,3.41665132926337,1.0,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
14,"DE",2024,"pow_combustion_st_ccs_biomass_1",0.0,100000.0,0.0,4330417.86300234,74392.4875846001,6.26584345064242,0.0,0.0,0.0,40,"","v1","","","",3.27149059985452,3.27149059985452,3.27149059985452,3.27149059985452,3.27149059985452,3.27149059985452,1.0,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
15,"DE",2027,"pow_combustion_st_ccs_biomass_1",0.0,100000.0,0.0,4205501.96310804,77014.6886938002,6.28285671398983,0.0,0.0,0.0,40,"","v1","","","",3.36685394992745,3.36685394992745,3.36685394992745,3.36685394992745,3.36685394992745,3.36685394992745,1.0,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
16,"DE",2030,"pow_combustion_st_ccs_biomass_1",0.0,100000.0,0.0,4080586.06321375,73081.38703,6.25733681896871,0.0,0.0,0.0,40,"","v1","","","",3.2258064516129,3.2258064516129,3.2258064516129,3.2258064516129,3.2258064516129,3.2258064516129,1.0,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
17,"DE",2035,"pow_combustion_st_ccs_biomass_1",0.0,100000.0,0.0,3875168.80560979,69876.0231822809,6.20893255415603,0.0,0.0,0.0,40,"","v1","","","",3.2,3.2,3.2,3.2,3.2,3.2,1.0,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
18,"DE",2040,"pow_combustion_st_ccs_biomass_1",0.0,100000.0,0.0,3669751.54800583,66670.6593345619,6.16052828934334,0.0,0.0,0.0,40,"","v1","","","",3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,1.0,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
19,"DE",2045,"pow_combustion_st_ccs_biomass_1",0.0,100000.0,0.0,3614233.37027503,65802.6422452809,6.15020215582458,0.0,0.0,0.0,40,"","v1","","","",3.1496062992126,3.1496062992126,3.1496062992126,3.1496062992126,3.1496062992126,3.1496062992126,1.0,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
20,"DE",2050,"pow_combustion_st_ccs_biomass_1",0.0,100000.0,0.0,3558715.19254423,64934.625156,6.13987602230583,0.0,0.0,0.0,40,"","v1","","","",3.125,3.125,3.125,3.125,3.125,3.125,1.0,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
21,"DE",2060,"pow_combustion_st_ccs_biomass_1",0.0,100000.0,0.0,3558715.19254423,64934.625156,6.13987602230583,0.0,0.0,0.0,40,"","v1","","","",3.125,3.125,3.125,3.125,3.125,3.125,1.0,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
22,"DE",2070,"pow_combustion_st_ccs_biomass_1",0.0,100000.0,0.0,3558715.19254423,64934.625156,6.13987602230583,0.0,0.0,0.0,40,"","v1","","","",3.125,3.125,3.125,3.125,3.125,3.125,1.0,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
