"id","region","year","type","conversion_factor_ue3_space_heating","conversion_factor_ue3_hot_water","conversion_factor_ue3_space_cooling","flow_share_fix_envir_heat","flow_share_fix_geoth_heat","flow_share_fix_space_heating","capacity_p_inst_0","lifetime","cost_fix_p","availability_constant","bandwidth_type","version","method","source","comment"
1,"Germany",2021,"hea_hh_ue3_heater_boil_dual_oil_0",0.75,0.6,"","","",0.558122427,0.792064778,20.0,0.1,0.15,"","","","",""
2,"Germany",2021,"hea_hh_ue3_heater_boil_mono_oil_0",0.75,"","","","","",0.306268277,20.0,0.1,0.15,"","","","",""
3,"Germany",2021,"hea_hh_ue3_heater_boil_dual_biomass_0",0.68,0.64,"","","",0.558122427,0.189654946,20.0,0.1,0.15,"","","","",""
4,"Germany",2021,"hea_hh_ue3_heater_stov_wood_0",0.68,"","","","","",0.290708389,15.0,0.1,0.15,"","","","",""
5,"Germany",2021,"hea_hh_ue3_heater_boil_mono_gas_0",0.88,"","","","","",1.588925957,20.0,0.1,0.15,"","","","",""
6,"Germany",2021,"hea_hh_ue3_heater_boil_dual_gas_0",0.88,0.72,"","","",0.558122427,2.138033828,20.0,0.1,0.15,"","","","",""
7,"Germany",2021,"hea_hh_ue3_heater_boil_cd_gas_0",0.9114,0.744,"","","",0.558122427,1.476215175,20.0,0.1,0.15,"","","","",""
8,"Germany",2021,"hea_hh_ue3_heater_hp_gas_0",1.0,"",0.8,0.578526813,"",1.0,0.0,12.0,0.1,0.15,"","","","",""
9,"Germany",2021,"hea_hh_ue3_heater_hp_air_dual_0",1.0,0.8,"",0.578526813,"",0.558122427,0.017630321,12.0,0.1,0.15,"","","","",""
10,"Germany",2021,"hea_hh_ue3_heater_hp_gro_dual_0",1.0,0.8,"","",0.696969697,0.558122427,0.008173778,12.0,0.1,0.15,"","","","",""
11,"Germany",2021,"hea_hh_ue3_heater_boil_et_mono_0",0.88,"","","","","",0.068961169,20.0,0.1,0.15,"","","","",""
12,"Germany",2021,"hea_hh_ue3_heater_boil_et_dual_0",0.88,0.736,"","","",0.558122427,0.0,12.0,0.1,0.15,"","","","",""
13,"Germany",2021,"hea_hh_ue3_heat_exchanger_lth_0",0.93,0.775,"","","",0.558122427,0.0,25.0,0.1,0.15,"","","","",""
14,"Germany",2021,"hea_hh_ue3_heat_exchanger_hth_0",0.93,0.775,"","","",0.939079444,1.278300122,25.0,0.1,0.15,"","","","",""
15,"Germany",2021,"hea_hh_ue3_cooling_splits_0","","",2.38,"","","",0.0,12.0,0.016666667,0.15,"","","","",""
16,"Germany",2021,"hea_hh_ue3_cooling_centralized_air_con_0","","",3.2,"","","",0.0,12.0,0.016666667,0.15,"","","","",""
17,"Germany",2021,"hea_hh_ue3_cooling_portable_air_con_0","","","","","","",0.0,"","",0.15,"","","","",""
18,"Germany",2021,"hea_hh_ue3_cooling_hp_ads_gas_0","","",0.8,"","","",0.0,"","",0.15,"","","","",""
