"id","region","year","type","conversion_factor_exo_road_htruck_tkm","conversion_factor_sec_lng","ef_sec_lng_emi_ch4_f_tra","ef_sec_lng_emi_co2_f_tra","ef_sec_lng_emi_n2o_f_tra","lifetime","mileage","tonnage","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_htruck_ice_frei_lng_0",5000.0,180.0,"57.8","global_emission_factors.sec_lng","1.24",15.0,52525.31047,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_lng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lng_emi_n2o_f_tra': '8Umwel2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_lng_emi_ch4_f_tra': 'Table 490 HDV, assumed as CNG', 'ef_sec_lng_emi_n2o_f_tra': 'Table 490 HDV, assumed as CNG'}"
2,"DE",2024,"tra_road_htruck_ice_frei_lng_0",5000.0,180.0,"57.8","global_emission_factors.sec_lng","1.24",15.0,52716.4657,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_lng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lng_emi_n2o_f_tra': '8Umwel2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_lng_emi_ch4_f_tra': 'Table 490 HDV, assumed as CNG', 'ef_sec_lng_emi_n2o_f_tra': 'Table 490 HDV, assumed as CNG'}"
3,"DE",2027,"tra_road_htruck_ice_frei_lng_0",5000.0,180.0,"57.8","global_emission_factors.sec_lng","1.24",15.0,52907.62094,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_lng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lng_emi_n2o_f_tra': '8Umwel2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_lng_emi_ch4_f_tra': 'Table 490 HDV, assumed as CNG', 'ef_sec_lng_emi_n2o_f_tra': 'Table 490 HDV, assumed as CNG'}"
4,"DE",2030,"tra_road_htruck_ice_frei_lng_0",5000.0,180.0,"57.8","global_emission_factors.sec_lng","1.24",15.0,53098.77617,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_lng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lng_emi_n2o_f_tra': '8Umwel2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_lng_emi_ch4_f_tra': 'Table 490 HDV, assumed as CNG', 'ef_sec_lng_emi_n2o_f_tra': 'Table 490 HDV, assumed as CNG'}"
5,"DE",2035,"tra_road_htruck_ice_frei_lng_0",5000.0,180.0,"57.8","global_emission_factors.sec_lng","1.24",15.0,53417.36823,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_lng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lng_emi_n2o_f_tra': '8Umwel2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_lng_emi_ch4_f_tra': 'Table 490 HDV, assumed as CNG', 'ef_sec_lng_emi_n2o_f_tra': 'Table 490 HDV, assumed as CNG'}"
6,"DE",2040,"tra_road_htruck_ice_frei_lng_0",5000.0,180.0,"57.8","global_emission_factors.sec_lng","1.24",15.0,53735.96029,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_lng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lng_emi_n2o_f_tra': '8Umwel2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_lng_emi_ch4_f_tra': 'Table 490 HDV, assumed as CNG', 'ef_sec_lng_emi_n2o_f_tra': 'Table 490 HDV, assumed as CNG'}"
7,"DE",2045,"tra_road_htruck_ice_frei_lng_0",5000.0,180.0,"57.8","global_emission_factors.sec_lng","1.24",15.0,54054.55235,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_lng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lng_emi_n2o_f_tra': '8Umwel2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_lng_emi_ch4_f_tra': 'Table 490 HDV, assumed as CNG', 'ef_sec_lng_emi_n2o_f_tra': 'Table 490 HDV, assumed as CNG'}"
8,"DE",2050,"tra_road_htruck_ice_frei_lng_0",5000.0,180.0,"57.8","global_emission_factors.sec_lng","1.24",15.0,54373.1444,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017,  projected using Agora, 2021.'}","{'ef_sec_lng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lng_emi_n2o_f_tra': '8Umwel2023', 'mileage': '8BaumeHautz2014, 8Progn2021'}","{'ef_sec_lng_emi_ch4_f_tra': 'Table 490 HDV, assumed as CNG', 'ef_sec_lng_emi_n2o_f_tra': 'Table 490 HDV, assumed as CNG'}"
9,"DE",2060,"tra_road_htruck_ice_frei_lng_0",5000.0,180.0,"57.8","global_emission_factors.sec_lng","1.24",15.0,54373.1444,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017.'}","{'ef_sec_lng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lng_emi_n2o_f_tra': '8Umwel2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_lng_emi_ch4_f_tra': 'Table 490 HDV, assumed as CNG', 'ef_sec_lng_emi_n2o_f_tra': 'Table 490 HDV, assumed as CNG', 'mileage': 'Assumed to be constant'}"
10,"DE",2070,"tra_road_htruck_ice_frei_lng_0",5000.0,180.0,"57.8","global_emission_factors.sec_lng","1.24",15.0,54373.1444,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Aggregated table 46 and 60 of BASt, 2017.'}","{'ef_sec_lng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lng_emi_n2o_f_tra': '8Umwel2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_lng_emi_ch4_f_tra': 'Table 490 HDV, assumed as CNG', 'ef_sec_lng_emi_n2o_f_tra': 'Table 490 HDV, assumed as CNG', 'mileage': 'Assumed to be constant'}"
