"id","region","year","type","conversion_factor_iip_auto_hvlt","conversion_factor_sec_elec_ind","capacity_e_abs_new_max","lifetime","capacity_e_inst_0","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_automobile_hvlt_0",1.0,1.0,0.0,25.0,6.6,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'capacity_w_inst_0': '7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement', 'lifetime': 'own assumption based on 7Wouter&Pablo2019'}"
2,"DE",2024,"ind_automobile_hvlt_0",1.0,1.0,0.0,25.0,5.7368,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'capacity_w_inst_0': '7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement', 'lifetime': 'own assumption based on 7Wouter&Pablo2019'}"
3,"DE",2027,"ind_automobile_hvlt_0",1.0,1.0,0.0,25.0,4.9172,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'capacity_w_inst_0': '7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement', 'lifetime': 'own assumption based on 7Wouter&Pablo2019'}"
4,"DE",2030,"ind_automobile_hvlt_0",1.0,1.0,0.0,25.0,4.0977,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'capacity_w_inst_0': '7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement', 'lifetime': 'own assumption based on 7Wouter&Pablo2019'}"
5,"DE",2035,"ind_automobile_hvlt_0",1.0,1.0,0.0,25.0,2.7318,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'capacity_w_inst_0': '7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement', 'lifetime': 'own assumption based on 7Wouter&Pablo2019'}"
6,"DE",2040,"ind_automobile_hvlt_0",1.0,1.0,0.0,25.0,1.3659,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'capacity_w_inst_0': '7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement', 'lifetime': 'own assumption based on 7Wouter&Pablo2019'}"
7,"DE",2045,"ind_automobile_hvlt_0",1.0,1.0,0.0,25.0,0.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'capacity_w_inst_0': '7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement', 'lifetime': 'own assumption based on 7Wouter&Pablo2019'}"
8,"DE",2050,"ind_automobile_hvlt_0",1.0,1.0,0.0,25.0,0.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'capacity_w_inst_0': '7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement', 'lifetime': 'own assumption based on 7Wouter&Pablo2019'}"
9,"DE",2060,"ind_automobile_hvlt_0",1.0,1.0,0.0,25.0,0.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'capacity_w_inst_0': '7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement', 'lifetime': 'own assumption based on 7Wouter&Pablo2019'}"
10,"DE",2070,"ind_automobile_hvlt_0",1.0,1.0,0.0,25.0,0.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'capacity_w_inst_0': '7ANL2022, 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement', 'lifetime': 'own assumption based on 7Wouter&Pablo2019'}"
