"id","region","year","type","conversion_factor_exo_chemi_methanol","conversion_factor_sec_elec_ind","conversion_factor_emi_co2_reusable","conversion_factor_iip_chemi_meoh_h2","availability_constant","capacity_w_abs_new_max","cost_inv_w","cost_fix_w","lifetime","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_methanol_mhydr_1","","","","","",0.0,"","","","{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_methanol_mhydr_1",1.0,5.4,1.373,22.7,90.0,"",235.599,11.7794,20.0,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_methanol_mhydr_1",1.0,5.4,1.373,22.7,90.0,"",235.599,11.779404,20.0,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_methanol_mhydr_1",1.0,5.4,1.373,22.7,90.0,"",235.599,11.779404,20.0,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_methanol_mhydr_1",1.0,5.4,1.373,22.7,90.0,"",235.599,11.779404,20.0,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_methanol_mhydr_1",1.0,5.4,1.373,22.7,90.0,"",235.599,11.779404,20.0,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_methanol_mhydr_1",1.0,5.4,1.373,22.7,90.0,"",235.599,11.779404,20.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_methanol_mhydr_1",1.0,5.4,1.373,22.7,90.0,"",235.599,11.779404,20.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_methanol_mhydr_1",1.0,5.4,1.373,22.7,90.0,"",235.599,11.779404,20.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_methanol_mhydr_1",1.0,5.4,1.373,22.7,90.0,"",235.599,11.779404,20.0,"{}","v1","{}","{}","{}"
