"id","region","year","type","conversion_factor_iip_chemi_nh3_h2","cost_var_e","conversion_factor_sec_elec_ind","availability_constant","capacity_p_abs_new_max","cost_inv_p","cost_fix_p","lifetime","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_nh3_aec_1","","","","",0.0,"","","","{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_nh3_aec_1",1.0,0.176904,1.4925373134328357,90.0,"",737.306388,47.1198,20.0,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_nh3_aec_1",1.0,0.176904,1.3888888888888888,90.0,"",444.339168,30.863196,20.0,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_nh3_aec_1",1.0,0.07098,1.3888888888888888,90.0,"",444.339168,12.251148,20.0,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_nh3_aec_1",1.0,0.07098,1.3888888888888888,90.0,"",444.339168,12.251148,20.0,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_nh3_aec_1",1.0,0.07098,1.3888888888888888,90.0,"",444.339168,12.251148,20.0,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_nh3_aec_1",1.0,0.07098,1.3888888888888888,90.0,"",444.339168,12.251148,20.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_nh3_aec_1",1.0,0.07098,1.3888888888888888,90.0,"",444.339168,12.251148,20.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_nh3_aec_1",1.0,0.07098,1.3888888888888888,90.0,"",444.339168,12.251148,20.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_nh3_aec_1",1.0,0.07098,1.3888888888888888,90.0,"",444.339168,12.251148,20.0,"{}","v1","{}","{}","{}"
